
============================================================
GALAXY PARLAY - DATABASE POPULATION
============================================================

[1/3] Fetching historical fixtures (2023-2025)...
This will take 5-10 minutes...
2026-01-30 15:26:09 [info     ] Starting historical data population
2026-01-30 15:26:47 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 79, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:47 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:47 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 114, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:47 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:47 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 116, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:48 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:48 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 84, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:48 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:48 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 112, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:48 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:49 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 83, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:49 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:49 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 85, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:49 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:49 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 91, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:50 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:50 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 94, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:50 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:50 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 95, 'league': 61, 'season': 2025} results=11
2026-01-30 15:26:50 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:50 [info     ] Team stats stored              count=18 league=Ligue 1 season=2025
2026-01-30 15:26:50 [info     ] Fetching fixtures              league=Primeira Liga season=2025 status=FT
2026-01-30 15:26:51 [info     ] apifootball_request            cached=False endpoint=fixtures params={'league': 94, 'season': 2025, 'status': 'FT'} results=171
2026-01-30 15:26:51 [info     ] fixtures_upserted              count=171
2026-01-30 15:26:51 [info     ] Fixtures stored                count=171 league=Primeira Liga season=2025
2026-01-30 15:26:51 [info     ] Fetching team stats            league=Primeira Liga season=2025
2026-01-30 15:26:51 [info     ] apifootball_cache_hit          cache_age_seconds=0 endpoint=fixtures params={'league': 94, 'season': 2025, 'status': 'FT'}
2026-01-30 15:26:51 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 224, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:52 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:52 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 225, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:52 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:52 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 226, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:52 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:52 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 227, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:53 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:53 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 228, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:53 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:53 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 230, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:53 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:53 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 218, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:53 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:54 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 4716, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:54 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:54 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 240, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:54 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:54 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 242, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:54 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:55 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 211, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:55 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:55 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 4724, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:55 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:55 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 212, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:55 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:56 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 15130, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:56 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:56 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 215, 'league': 94, 'season': 2025} results=11
2026-01-30 15:26:56 [info     ] team_statistics_upserted       count=1
